"","Bifidobacterium","Sample_Name","Microbiome","Reps","Combine","Bifidobacterium_start","764","A554","B57","HP301","LH60","NC262","PHG35","PHG39","PHG47"
"1",0,"S12-764-2","S12",2,"S12-2",4,-4,-1,-3,-2,-4,-2,-4,-2,-2
"2",12,"S3-764-2","S3",2,"S3-2",3,9,0,-2,-1,-2,-3,-3,-3,-1
"3",0,"S6-764-2","S6",2,"S6-2",11,-11,-8,-11,-10,-8,-8,-10,-10,-6
"4",1,"S15-764-2","S15",2,"S15-2",5,-4,-3,-3,-5,-4,-2,-3,-3,-2
"5",23,"S9-764-1","S9",1,"S9-1",190,-167,-151,-163,-138,-156,-133,-156,-160,-149
"6",12,"S2-764-1","S2",1,"S2-1",19,-7,-15,-9,-12,-17,-14,-13,-14,-9
"7",7,"S18-764-1","S18",1,"S18-1",4,3,0,1,-4,3,1,-3,-1,-4
"8",7,"S19-764-2","S19",2,"S19-2",2,5,3,6,4,1,3,6,13,3
"9",10,"S12-764-1","S12",1,"S12-1",0,10,1,1,0,0,1,0,0,1
"10",2,"S22-764-1","S22",1,"S22-1",1,1,0,1,2,-1,2,-1,0,2
"11",1,"S16-764-2","S16",2,"S16-2",0,1,0,0,0,0,2,0,0,0
"12",2,"S24-764-1","S24",1,"S24-1",9,-7,-6,-9,-8,-5,-6,-5,-3,-5
"13",7,"S14-764-1","S14",1,"S14-1",0,7,5,6,0,4,3,1,9,27
"14",2,"S7-764-1","S7",1,"S7-1",2,0,-2,3,0,-2,1,1,-2,1
"15",0,"S4-764-1","S4",1,"S4-1",0,0,1,0,0,0,0,0,0,0
"16",63,"S9-764-2","S9",2,"S9-2",208,-145,-178,-173,-169,-162,-161,-166,-155,-160
"17",12,"S3-764-1","S3",1,"S3-1",1,11,-1,-1,1,2,-1,-1,1,0
"18",3,"S15-764-1","S15",1,"S15-1",0,3,5,9,2,0,0,0,0,2
"19",3,"S5-764-2","S5",2,"S5-2",1,2,0,-1,0,0,1,2,3,4
"20",0,"S21-764-2","S21",2,"S21-2",2,-2,4,-1,-1,1,-2,-2,-1,1
"21",2,"S22-764-2","S22",2,"S22-2",4,-2,-4,-4,-4,-4,-2,-4,-2,-2
"22",0,"S4-764-2","S4",2,"S4-2",0,0,0,0,0,0,0,0,0,1
"23",0,"S17-764-1","S17",1,"S17-1",4,-4,-2,-4,-2,-4,1,-3,-4,-1
"24",10,"S14-764-2","S14",2,"S14-2",0,10,7,0,10,3,4,4,3,8
"25",28,"S20-764-2","S20",2,"S20-2",28,0,-6,34,4,8,7,7,22,2
"26",1,"S24-764-2","S24",2,"S24-2",4,-3,-3,-1,-4,-4,-2,1,-2,4
"27",1,"S18-764-2","S18",2,"S18-2",7,-6,-1,-6,-7,-7,-7,-4,-5,-2
"28",5,"S1-764-1","S1",1,"S1-1",9,-4,-6,-5,-6,-9,-9,-4,-8,-4
"29",31,"S20-764-1","S20",1,"S20-1",16,15,1,29,3,0,19,0,33,18
"30",4,"S5-764-1","S5",1,"S5-1",0,4,4,3,0,4,3,2,6,6
"31",2,"S1-764-2","S1",2,"S1-2",12,-10,-5,-6,-5,-7,-11,-6,-7,-6
"32",8,"S19-764-1","S19",1,"S19-1",9,-1,-5,-2,-4,-6,5,-6,-6,16
"33",2,"S16-764-1","S16",1,"S16-1",1,1,0,-1,0,-1,-1,-1,-1,1
"34",5,"S6-764-1","S6",1,"S6-1",4,1,4,-2,66,-1,4,2,-1,16
"35",7,"S2-764-2","S2",2,"S2-2",24,-17,-21,-17,-20,-7,-18,-16,-22,6
"36",1,"S21-764-1","S21",1,"S21-1",1,0,0,1,3,1,1,7,0,0
"37",4,"S17-764-2","S17",2,"S17-2",1,3,0,-1,-1,0,4,1,3,0
"38",1,"S7-764-2","S7",2,"S7-2",10,-9,-7,-9,-5,-8,-7,-9,-9,-9
