"","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Mediterraneibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gauvreauii group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_[Eubacterium] siraeum group","Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Acutalibacter","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group","Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Oscillospira","Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002","Bacteria_Bacillota_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Pasteurellaceae_Haemophilus","Bacteria_Thermodesulfobacteriota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Bilophila","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_GCA-900066575","Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium","Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group","Total"
"S22-764-1",3,7,43,128,41,4,1,0,5,16,24,5,122,1,7,10,2,9,8,0,6151,7,6594
"S22-764-2",2,5,19,220,18,3,1,1,7,7,13,3,91,2,5,7,1,7,7,0,5881,6,6306
"S22-A554-1",4,7,13,73,25,6,8,0,3,7,16,7,48,2,2,11,7,7,10,0,6419,4,6679
"S22-A554-2",2,3,50,103,32,7,3,0,3,11,15,7,40,2,4,5,2,43,7,0,6662,4,7005
"S22-B57-1",2,12,53,41,54,4,1,0,5,6,22,5,32,2,6,21,3,2,5,0,6254,13,6543
"S22-B57-2",7,1,21,337,36,7,6,0,4,8,36,2,99,5,10,6,1,13,12,0,5166,5,5782
"S22-FBB0-1",51,54,305,780,449,113,12,23,28,43,106,42,397,11,22,41,18,108,97,2,2067,64,4833
"S22-FBB0-2",29,30,285,671,377,73,21,11,25,38,56,49,492,15,27,38,26,107,62,3,1949,94,4478
"S22-HP301-1",6,5,40,184,46,8,1,0,2,11,8,10,96,5,9,9,1,7,9,0,5876,5,6338
"S22-HP301-2",3,6,25,50,30,4,1,0,3,8,12,5,46,2,2,14,0,5,7,0,6429,9,6661
"S22-LH60-1",0,6,24,344,34,3,0,1,5,8,23,6,106,3,6,12,1,7,6,0,5527,11,6133
"S22-LH60-2",2,1,15,369,26,3,3,0,2,11,18,17,66,1,2,3,0,9,8,0,5684,1,6241
"S22-NC262-1",6,11,31,112,43,7,0,1,8,16,22,9,110,2,2,11,2,20,8,0,6685,5,7111
"S22-NC262-2",7,2,31,109,27,5,2,0,4,6,13,4,52,4,1,5,0,10,4,0,6892,7,7185
"S22-PHG35-1",9,10,34,83,14,0,1,0,8,1,10,9,51,2,7,14,2,10,7,0,7331,14,7617
"S22-PHG35-2",5,8,29,213,22,4,1,0,1,6,12,5,62,3,3,10,2,17,5,0,5835,5,6248
"S22-PHG39-1",3,5,32,272,35,4,4,0,2,6,8,7,83,0,4,7,0,10,8,0,5524,5,6019
"S22-PHG39-2",3,2,32,142,21,4,0,0,7,13,22,9,73,3,2,3,3,9,16,0,5226,7,5597
"S22-PHG47-1",2,7,36,66,49,10,2,0,4,8,12,8,52,1,6,16,1,12,9,0,6475,5,6781
"S22-PHG47-2",0,8,45,164,36,10,4,0,7,4,21,6,76,1,4,4,0,6,13,0,5554,13,5976
