"","means.Simpson","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"764",0.922421877880903,0.0235788636484811,38,0.00272047565388623,0.867619594204812,0.957035320595645,0.90697567088974,0.925982471662612,0.942568575076311
"A554",0.928816352619483,0.0277158418730015,38,0.00272047565388623,0.870547936355968,0.974709588820121,0.905340063939626,0.926764547900823,0.952955210097036
"B57",0.926633659663628,0.0286552245516201,38,0.00272047565388623,0.879021912972171,0.980192708779494,0.901847931212241,0.921511032156893,0.953112416573479
"FBB0",0.944913069514977,0.0268178814826834,38,0.00272047565388623,0.873113527004621,0.975259261126733,0.938680840416471,0.947035877893134,0.967720406430418
"HP301",0.925779653354057,0.0267605233832008,38,0.00272047565388623,0.874316270523779,0.976994000857081,0.903333531091675,0.924777414400353,0.94702006964401
"LH60",0.922628804044925,0.0280871044985489,36,0.00279502303592541,0.86792332067578,0.972940056596118,0.897997446575787,0.921445519212186,0.948918743159014
"NC262",0.919964732554459,0.0306293418570328,38,0.00272047565388623,0.860889327204876,0.973942461873146,0.897392533985687,0.916553084130156,0.945762258407616
"PHG35",0.919996021021024,0.0282506611199767,36,0.00279502303592541,0.84999830926147,0.962179678701663,0.90056241178549,0.912478180731245,0.948506253260422
"PHG39",0.927018257958921,0.0284638843336458,38,0.00272047565388623,0.866890147641606,0.977076887201421,0.906928422311106,0.930580209050413,0.950832784604752
"PHG47",0.927055396564566,0.0243130130659902,38,0.00272047565388623,0.876579432462233,0.962076243099135,0.908519777771967,0.932235589546488,0.945951125221037
