"","means.CFU","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"764",3082706.09941049,3237329.25489067,9,627158.596364961,273919.087652327,8946691.88129989,421316.872585829,2280195.40436445,4170058.27030312
"A554",1317831.90870728,1026807.59536422,9,627158.596364961,197994.547100383,2929938.58853746,638907.722484463,721541.025282819,2060150.64455849
"B57",2013725.82521584,2775099.94271447,7,711131.005104868,319194.937434235,7981421.69649461,397996.21949679,634631.37075261,2182420.16641791
"FBB0",1787702.57427735,3346101.73929194,9,627158.596364961,81473.0010045086,10519254.9436475,215092.192617448,528992.155610726,1411227.72688169
"HP301",3572329.21502707,3934443.64313509,7,711131.005104868,449575.530210469,10976320.7503063,1113212.24283324,1624971.42982589,4864506.15459017
"LH60",646406.159132251,703786.844049183,10,594974.885600243,116912.79806285,2285305.50870935,282790.197630371,342111.036569788,685362.949819447
"NC262",1269781.58606706,1486822.32498976,9,627158.596364961,93324.1138560879,4160733.72581472,125595.034427448,267655.532673418,2484504.28649132
"PHG",392484.494210396,NA,1,1881475.78909488,392484.494210396,392484.494210396,392484.494210396,392484.494210396,392484.494210396
"PHG35",3731419.90994305,1662642.23580533,4,940737.894547442,1299049.45056001,4852077.04313364,3344521.09959438,4387276.57303928,4774175.38338795
"PHG39",1648583.92606214,945173.871001096,7,711131.005104868,458725.063319956,3242885.42796585,1116681.52035687,1529664.95565833,2037724.49738854
"PHG47",3716597.92637459,2665300.16238065,6,768109.274447134,339588.942631016,6281376.24766404,1455771.03609463,4784538.54646503,5518657.19340468
